smiles,template,compound_set,hit1,hit2,hit3,reactant_step1,reactant2_step1,reaction_name_step1,short_hits
COc1cncc(CCC(=O)NC2CCNC2=O)c1,A0310a,knitwork_june_2024,A0515a,A0528a,,,,,Ax0515a Ax0528a
O=C(OCC1CCCNC1=O)c1ccncc1F,A0310a,knitwork_june_2024,A0515a,A0528a,,,,,Ax0515a Ax0528a
CN1CCC(c2nc(-c3ccncc3)no2)C1=O,A0310a,knitwork_june_2024,A0528a,A0515a,,,,,Ax0528a Ax0515a
CCC1CC(NC(=O)c2ccc(NC(=O)C(C)(C)C)nc2)C1,A0310a,knitwork_june_2024,A0556a,A0310a,,,,,Ax0556a Ax0310a
CCOC(=O)c1cc(NC(=O)CC#N)n(C)n1,A0310a,knitwork_june_2024,A0556a,A0310a,,,,,Ax0556a Ax0310a
CC(C)(C)C(=O)Nc1ccc(C(=O)NC2(C(F)F)CCC2)cn1,A0310a,knitwork_june_2024,A0556a,A0310a,,,,,Ax0556a Ax0310a
CCCC(=O)NC1CCN(C(=O)NC2CC(CC#N)C2)CC1,A0310a,knitwork_june_2024,A0556a,A0310a,,,,,Ax0556a Ax0310a
NC(=O)c1cc(NC(=O)C23CCC(CO2)C3)[nH]n1,A0310a,knitwork_june_2024,A0556a,A0528a,,,,,Ax0556a Ax0528a
O=C(NC1CC(C(F)(F)F)C1)c1cc2ccsc2[nH]1,A0310a,knitwork_june_2024,A0556a,A0566a,,,,,Ax0556a Ax0566a
CC(C)(C)OC1CC(NC(=O)N2CCCC2CS(N)(=O)=O)C1,A0310a,knitwork_june_2024,A0556a,A0719a,,,,,Ax0556a Ax0719a
N#CCC1CC(NC(=O)N2CCCC(CS(N)(=O)=O)C2)C1,A0310a,knitwork_june_2024,A0556a,A0719a,,,,,Ax0556a Ax0719a
NS(=O)(=O)CC1CCCCN1C(=O)NC1(C(F)(F)F)CCC1,A0310a,knitwork_june_2024,A0556a,A0719a,,,,,Ax0556a Ax0719a
Cn1cc(C(O)C(=O)Nc2cccc(NC(=O)CC#N)c2)cn1,A0310a,knitwork_june_2024,A0732a,A0310a,,,,,Ax0732a Ax0310a
CC1(NC(=O)Nc2ccccc2CS(N)(=O)=O)CCC1,A0310a,knitwork_june_2024,A0884a,A0719a,,,,,Ax0884a Ax0719a
CC(=O)Nc1ccc(NCc2ccccc2F)cn1,A0310a,knitwork_june_2024,A0310a,A0365a,,,,,Ax0310a Ax0365a
CC(=O)N(C)c1ccc(NCc2cccc(C(C)C)c2)cn1,A0310a,knitwork_june_2024,A0310a,A0365a,,,,,Ax0310a Ax0365a
CC(=O)Nc1ccc(NCc2ccccc2C)cn1,A0310a,knitwork_june_2024,A0310a,A0365a,,,,,Ax0310a Ax0365a
CC(=O)N(C)c1ccc(NCc2ccccc2C2CC2)cn1 ,A0310a,knitwork_june_2024,A0310a,A0365a,,,,,Ax0310a Ax0365a
Cc1ccc(C(=O)Nc2ccc(N3CCNC(=O)C3)nc2)cc1C ,A0310a,knitwork_june_2024,A0365a,A0528a,,,,,Ax0365a Ax0528a
O=C1CCCN1c1ccc(NCc2ccc(C(F)(F)F)cc2)nc1,A0310a,knitwork_june_2024,A0365a,A0528a,,,,,Ax0365a Ax0528a
O=C1CCCN1c1ccc(NCc2cccc(F)c2)nc1,A0310a,knitwork_june_2024,A0365a,A0528a,,,,,Ax0365a Ax0528a
CC(=O)Nc1ccc(C(=O)N(C)C)nc1,A0310a,knitwork_june_2024,A0310a,A0450a,,,,,Ax0310a Ax0450a
NC(=O)C1CCCN(C(=O)c2ccc(Cl)c(C(=O)CN3CCCC3)c2)C1,A0926a,x0926 merge into p1’,A0926a,A1140a,,,,,Ax0926a Ax1140a
NC(=O)C1CCCN(C(=O)c2cccc(O)c2C(=O)NC2CC2)C1,A0926a,x0926 going down p1,A0926a,A1292a,,,,,Ax0926a Ax1292a
NC(=O)C1CCCN(C(=O)c2cccc(O)c2C(=O)NCc2ccccc2)C1,A0926a,x0926 going down p1,A0926a,A0836a,,,,,Ax0926a Ax0836a
C[n+]1ccc(C(=O)N2CCCC(C(N)=O)C2Cl)[nH]1,A0926a,X0926 and x1346,A0926a,A1346a,,,,,Ax0926a Ax1346a
NC(=O)C1CCCN(C(=O)Cc2[nH]ncc2CC(=O)NC2CC2)C1,A0926a,X0926 and x1346,A0926a,A1346a,,,,,Ax0926a Ax1346a
O=C(Cc1cn[nH]c1CC(=O)N1CCCC(C(F)(F)F)C1)NC1CC1,A0926a,X0926 and x1346,A0926a,A1346a,,,,,Ax0926a Ax1346a
O=C(Cc1cn[nH]c1CC(=O)N1CCCC(C(F)(F)F)C1)NC1CC1,A0926a,X0926 and x1347and x1019,A0926a,A1346a,A1019a,,,,Ax0926a Ax1346a Ax1019a
CC(=O)Nc1ccccc1CCS(N)(=O)=O,A0487a,x0487 P2 extension,A0487a,A0719a,,,,,Ax0487a Ax0719a
