ID_amine,ROMol_amine,ID_carboxyl,ROMol_carboxyl,product,amine,carboxyl
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-50614,<rdkit.Chem.rdchem.Mol object at 0x16a246500>,Cc1cc(NC(=O)CCC2=NC(=S)N=C2)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)CCC1=NC(=S)N=C1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-35411,<rdkit.Chem.rdchem.Mol object at 0x16a246650>,Cc1cc(NC(=O)c2ccc3c(c2)=NC(=O)N=3)n(C)n1,Cc1cc(N)n(C)n1,O=C1N=c2ccc(C(=O)O)cc2=N1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-52322,<rdkit.Chem.rdchem.Mol object at 0x16a2466c0>,Cc1cc(NC(=O)CNC(=O)c2ccsc2)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)CNC(=O)c1ccsc1
EN300-14984,<rdkit.Chem.rdchem.Mol object at 0x16a244ac0>,EN300-7708964,<rdkit.Chem.rdchem.Mol object at 0x16a246730>,Cc1cc(NC(=O)CSC2=NCCN2)n(C)n1,Cc1cc(N)n(C)n1,O=C(O)CSC1=NCCN1
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-7444943,<rdkit.Chem.rdchem.Mol object at 0x16a245310>,Cc1cc(CNC(=O)/C=C/c2ccc3occc3c2)n(C)n1,Cc1cc(CN)n(C)n1,O=C(O)/C=C/c1ccc2occc2c1
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-16798,<rdkit.Chem.rdchem.Mol object at 0x16a245380>,COc1cc(/C=C/C(=O)NCc2cc(C)nn2C)ccc1O,Cc1cc(CN)n(C)n1,COc1cc(/C=C/C(=O)O)ccc1O
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-1067793,<rdkit.Chem.rdchem.Mol object at 0x16a2453f0>,Cc1cc(CNC(=O)/C=C/c2ccc(O)c(O)c2)n(C)n1,Cc1cc(CN)n(C)n1,O=C(O)/C=C/c1ccc(O)c(O)c1
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-51296,<rdkit.Chem.rdchem.Mol object at 0x16a245460>,Cc1cc(CNC(=O)CNC(=O)c2cc(C)oc2C)n(C)n1,Cc1cc(CN)n(C)n1,Cc1cc(C(=O)NCC(=O)O)c(C)o1
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-331721,<rdkit.Chem.rdchem.Mol object at 0x16a2454d0>,Cc1cc(CNC(=O)/C=C/c2ccc3c(c2)OCO3)n(C)n1,Cc1cc(CN)n(C)n1,O=C(O)/C=C/c1ccc2c(c1)OCO2
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-103435,<rdkit.Chem.rdchem.Mol object at 0x16a245540>,Cc1cc(CNC(=O)CCn2c(C)cc(O)cc2=O)n(C)n1,Cc1cc(CN)n(C)n1,Cc1cc(O)cc(=O)n1CCC(=O)O
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-146788,<rdkit.Chem.rdchem.Mol object at 0x16a2455b0>,Cc1cc(CNC(=O)c2ccc3ccc(O)nc3c2)n(C)n1,Cc1cc(CN)n(C)n1,O=C(O)c1ccc2ccc(O)nc2c1
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-84745,<rdkit.Chem.rdchem.Mol object at 0x16a245620>,COc1ccn2ncc(C(=O)NCc3cc(C)nn3C)c2c1,Cc1cc(CN)n(C)n1,COc1ccn2ncc(C(=O)O)c2c1
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-04021,<rdkit.Chem.rdchem.Mol object at 0x16a245690>,Cc1cc(CNC(=O)CNC(=O)c2ccc(C)s2)n(C)n1,Cc1cc(CN)n(C)n1,Cc1ccc(C(=O)NCC(=O)O)s1
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-16452,<rdkit.Chem.rdchem.Mol object at 0x16a245700>,Cc1cc(C)nc(SCC(=O)NCc2cc(C)nn2C)n1,Cc1cc(CN)n(C)n1,Cc1cc(C)nc(SCC(=O)O)n1
EN300-204033,<rdkit.Chem.rdchem.Mol object at 0x16a244f90>,EN300-1718344,<rdkit.Chem.rdchem.Mol object at 0x16a245770>,Cc1cc(CNC(=O)CCn2ccc3cccnc32)n(C)n1,Cc1cc(CN)n(C)n1,O=C(O)CCn1ccc2cccnc21
